unit=11	section_index=03	section=topic-vocabulary:Nature see page 233 for definitions	heading=Topic vocabulary: Nature see page 233 for definitions	start_line=243	end_line=249	line_count=7	source=sources\destination-c1-c2\units\unit-11.txt	file=sources\destination-c1-c2\sections\unit-11-s03-topic-vocabulary-nature-see-page-233-for-definitions.txt
unit=11	section_index=04	section=phrasal-verbs	heading=Phrasal verbs	start_line=250	end_line=272	line_count=23	source=sources\destination-c1-c2\units\unit-11.txt	file=sources\destination-c1-c2\sections\unit-11-s04-phrasal-verbs.txt
unit=11	section_index=05	section=phrases-patterns-collocations	heading=Phrases, patterns and collocations	start_line=273	end_line=303	line_count=31	source=sources\destination-c1-c2\units\unit-11.txt	file=sources\destination-c1-c2\sections\unit-11-s05-phrases-patterns-collocations.txt
unit=11	section_index=06	section=idioms	heading=Idioms	start_line=304	end_line=320	line_count=17	source=sources\destination-c1-c2\units\unit-11.txt	file=sources\destination-c1-c2\sections\unit-11-s06-idioms.txt
unit=11	section_index=07	section=word-formation	heading=Word formation	start_line=321	end_line=340	line_count=20	source=sources\destination-c1-c2\units\unit-11.txt	file=sources\destination-c1-c2\sections\unit-11-s07-word-formation.txt
unit=12	section_index=01	section=topic-vocabulary:Chance	heading=Topic vocabulary: Chance	start_line=5	end_line=78	line_count=74	source=sources\destination-c1-c2\units\unit-12.txt	file=sources\destination-c1-c2\sections\unit-12-s01-topic-vocabulary-chance.txt
unit=12	section_index=02	section=topic-vocabulary:Nature	heading=Topic vocabulary: Nature	start_line=79	end_line=114	line_count=36	source=sources\destination-c1-c2\units\unit-12.txt	file=sources\destination-c1-c2\sections\unit-12-s02-topic-vocabulary-nature.txt
unit=12	section_index=03	section=phrasal-verbs	heading=Phrasal verbs	start_line=115	end_line=169	line_count=55	source=sources\destination-c1-c2\units\unit-12.txt	file=sources\destination-c1-c2\sections\unit-12-s03-phrasal-verbs.txt
unit=12	section_index=04	section=phrases-patterns-collocations	heading=Phrases, patterns and collocations	start_line=170	end_line=243	line_count=74	source=sources\destination-c1-c2\units\unit-12.txt	file=sources\destination-c1-c2\sections\unit-12-s04-phrases-patterns-collocations.txt
unit=12	section_index=05	section=idioms	heading=Idioms	start_line=244	end_line=284	line_count=41	source=sources\destination-c1-c2\units\unit-12.txt	file=sources\destination-c1-c2\sections\unit-12-s05-idioms.txt
unit=12	section_index=06	section=word-formation	heading=Word formation	start_line=285	end_line=328	line_count=44	source=sources\destination-c1-c2\units\unit-12.txt	file=sources\destination-c1-c2\sections\unit-12-s06-word-formation.txt
unit=12	section_index=07	section=review	heading=REVIEW	start_line=329	end_line=430	line_count=102	source=sources\destination-c1-c2\units\unit-12.txt	file=sources\destination-c1-c2\sections\unit-12-s07-review.txt
unit=12	section_index=08	section=progress-test	heading=Progress Test 1: Units 1-12	start_line=431	end_line=619	line_count=189	source=sources\destination-c1-c2\units\unit-12.txt	file=sources\destination-c1-c2\sections\unit-12-s08-progress-test.txt
unit=12	section_index=09	section=grammar	heading=Grammar	start_line=620	end_line=770	line_count=151	source=sources\destination-c1-c2\units\unit-12.txt	file=sources\destination-c1-c2\sections\unit-12-s09-grammar.txt
unit=13	section_index=01	section=vocabulary	heading=Vocabulary	start_line=228	end_line=231	line_count=4	source=sources\destination-c1-c2\units\unit-13.txt	file=sources\destination-c1-c2\sections\unit-13-s01-vocabulary.txt
